transaction_id,amount,risk_score,event_hour,billing_shipping_mismatch,customer_transaction_count,merchant_transaction_count,device_transaction_count,session_transaction_count,ip_transaction_count,customer_account_age_days,customer_historical_decline_rate,customer_historical_spend_mean,merchant_age_days,merchant_refund_rate,merchant_chargeback_rate,merchant_volume_growth_rate,device_ip_reputation_score,device_first_seen_days_ago,device_failed_login_count,label,attack_bucket,attack_subtype,attack_id,scenario_id,simulation_segment,currency_code,channel_code,rail_code,transaction_type_code,status_code,billing_country_code,shipping_country_code,merchant_category_code,payment_method_type_code,auth_result_code
txn_34ac9ef571e6,68.5,0.1023,3,0,4,28,5,1,3,2687.0,0.0079,263.43,976.0,0.0666,0.0119,0.3341,0.1005,209.0,1.0,0,,,,,routine_benign,1,4,3,1,0,0,0,3,1,0
txn_59a2fe596426,44.35,0.2158,1,0,4,28,5,1,3,2687.0,0.0079,263.43,3952.0,0.0039,0.0064,0.2464,0.1005,209.0,1.0,0,,,,,routine_benign,1,4,1,1,0,4,4,4,1,0
txn_56d0609fa109,32.14,0.105,2,0,4,28,5,1,5,1756.0,0.0792,270.7,2258.0,0.0111,0.0087,0.0514,0.1005,209.0,1.0,0,,,,,routine_benign,1,8,3,1,0,5,5,1,1,0
txn_4567c4cde7b7,29.88,0.0799,4,0,4,28,5,1,3,1756.0,0.0792,270.7,2538.0,0.0221,0.0123,0.1388,0.1005,209.0,1.0,0,,,,,routine_benign,3,10,1,1,0,4,4,4,3,0
txn_917948913213,34.25,0.3454,4,0,4,27,5,1,4,1756.0,0.0792,270.7,2954.0,0.0315,0.0076,0.2489,0.1005,209.0,1.0,0,,,,,routine_benign,0,8,4,1,0,5,5,4,2,0
txn_5a748823564c,76.53,0.3577,1,0,4,27,5,1,3,1756.0,0.0792,270.7,2201.0,0.0634,0.0044,0.3483,0.0753,87.0,0.0,0,,,,,routine_benign,1,4,3,1,0,3,3,4,3,0
txn_ba500d83f947,21.42,0.4894,4,0,4,27,5,1,4,1404.0,0.0329,167.0,3960.0,0.0291,0.0043,0.14,0.0753,87.0,0.0,0,,,,,atypical_benign,0,4,4,1,1,1,1,2,2,2
txn_247601281e67,51.83,0.2864,1,0,4,27,5,1,4,1404.0,0.0329,167.0,4424.0,0.0212,0.0049,0.2499,0.0753,87.0,0.0,0,,,,,routine_benign,4,8,3,1,0,2,2,1,2,0
txn_ee2a1bca658d,33.52,0.0778,4,0,4,28,5,1,4,1404.0,0.0329,167.0,712.0,0.0686,0.0107,0.2338,0.0753,87.0,0.0,0,,,,,routine_benign,2,8,3,1,0,2,2,3,0,0
txn_775c9fd8ae76,185.86,0.5655,1,0,4,28,5,1,2,1404.0,0.0329,167.0,427.0,0.0554,0.0089,0.0718,0.0753,87.0,0.0,0,,,,,atypical_benign,1,10,1,1,0,1,1,4,1,0
txn_f24567c918e8,46.73,0.2761,2,0,4,28,5,1,1,2231.0,0.0701,220.27,4063.0,0.0643,0.0136,0.0121,0.2241,504.0,1.0,0,,,,,routine_benign,3,8,1,1,0,3,3,5,0,0
txn_c821c103346c,123.35,0.2643,6,0,4,28,5,1,1,2231.0,0.0701,220.27,2814.0,0.0449,0.0034,0.1579,0.2241,504.0,1.0,0,,,,,routine_benign,1,6,3,1,0,4,4,5,2,0
txn_29a289332c36,22.61,0.3168,6,0,4,28,5,1,5,2231.0,0.0701,220.27,2885.0,0.0702,0.0123,0.3066,0.2241,504.0,1.0,0,,,,,routine_benign,2,4,1,1,0,2,2,6,0,0
txn_00b1384bc661,42.01,0.0966,3,0,4,28,5,1,1,2231.0,0.0701,220.27,214.0,0.0285,0.0009,0.2845,0.2241,504.0,1.0,0,,,,,routine_benign,2,6,3,1,0,3,3,4,2,0
txn_c13154d09aba,25.55,0.1837,4,0,4,28,5,1,5,2571.0,0.0748,252.66,424.0,0.0799,0.0047,0.1834,0.2241,504.0,1.0,0,,,,,routine_benign,0,6,4,1,0,3,3,6,2,0
txn_d57b99a8cc53,30.47,0.4999,5,0,4,28,5,1,3,2571.0,0.0748,252.66,2402.0,0.0095,0.0084,0.086,0.0386,1052.0,1.0,0,,,,,atypical_benign,4,8,1,1,0,3,3,4,1,0
txn_8a990305aa8c,9.04,0.1204,1,0,4,28,5,1,1,2571.0,0.0748,252.66,3232.0,0.0626,0.0079,0.0436,0.0386,1052.0,1.0,0,,,,,routine_benign,4,4,4,1,0,2,2,0,1,0
txn_1f534183e6ad,305.42,0.6494,10,1,4,28,5,1,3,2571.0,0.0748,252.66,3990.0,0.0719,0.0017,0.2548,0.0386,1052.0,1.0,0,,,,,atypical_benign,1,4,3,1,0,2,3,5,3,0
txn_d2e1c7881702,425.48,0.6057,3,1,4,28,5,1,4,876.0,0.0318,243.47,976.0,0.0666,0.0119,0.3341,0.0386,1052.0,1.0,0,,,,,atypical_benign,3,10,3,1,0,5,2,5,0,0
txn_f7e6768d6e91,29.1,0.1751,12,0,4,28,5,1,3,876.0,0.0318,243.47,3952.0,0.0039,0.0064,0.2464,0.0386,1052.0,1.0,0,,,,,routine_benign,1,4,3,1,0,2,2,1,3,0
txn_991647e01c50,37.34,0.2252,1,0,4,28,5,1,5,876.0,0.0318,243.47,2258.0,0.0111,0.0087,0.0514,0.166,523.0,1.0,0,,,,,routine_benign,1,10,4,1,0,2,2,1,2,0
txn_f42976b67a1b,23.95,0.2844,11,0,4,28,5,1,2,876.0,0.0318,243.47,2538.0,0.0221,0.0123,0.1388,0.166,523.0,1.0,0,,,,,routine_benign,1,4,1,1,0,5,5,2,3,0
txn_179aa9fecb46,12.86,0.4326,3,1,4,27,5,1,3,152.0,0.0644,109.85,2954.0,0.0315,0.0076,0.2489,0.166,523.0,1.0,0,,,,,atypical_benign,2,6,3,1,0,3,4,4,3,0
txn_e07c6c345784,249.07,0.2708,10,0,4,27,5,1,2,152.0,0.0644,109.85,2201.0,0.0634,0.0044,0.3483,0.166,523.0,1.0,0,,,,,atypical_benign,0,8,1,1,1,4,4,3,0,2
txn_6c1bfd5b7231,28.56,0.2266,10,0,4,27,5,1,3,152.0,0.0644,109.85,3960.0,0.0291,0.0043,0.14,0.166,523.0,1.0,0,,,,,routine_benign,1,8,1,1,0,0,0,2,2,0
txn_41c6ade2a40b,86.18,0.1047,4,0,4,27,5,1,2,152.0,0.0644,109.85,4424.0,0.0212,0.0049,0.2499,0.0469,1381.0,1.0,0,,,,,routine_benign,0,4,1,1,0,3,3,3,3,0
txn_c2d2bdcb73eb,175.68,0.3151,4,0,4,28,5,1,4,585.0,0.0593,63.02,712.0,0.0686,0.0107,0.2338,0.0469,1381.0,1.0,0,,,,,routine_benign,1,8,3,1,0,2,2,6,3,0
txn_d3babd780366,49.24,0.1893,2,0,4,28,5,1,4,585.0,0.0593,63.02,427.0,0.0554,0.0089,0.0718,0.0469,1381.0,1.0,0,,,,,routine_benign,3,4,4,1,0,3,3,6,2,0
txn_312f251c7288,34.42,0.2086,13,0,4,28,5,1,1,585.0,0.0593,63.02,4063.0,0.0643,0.0136,0.0121,0.0469,1381.0,1.0,0,,,,,atypical_benign,1,10,1,1,0,5,5,3,0,0
txn_4dcd5c5b4f5b,60.59,0.3208,13,0,4,28,5,1,2,585.0,0.0593,63.02,2814.0,0.0449,0.0034,0.1579,0.0469,1381.0,1.0,0,,,,,atypical_benign,3,8,3,1,0,5,5,3,2,0
txn_1d6ba91f198a,10.79,0.0401,3,0,4,28,5,1,4,1664.0,0.0469,188.69,2885.0,0.0702,0.0123,0.3066,0.0325,1468.0,1.0,0,,,,,routine_benign,2,6,3,1,0,4,4,6,3,0
txn_a307a9b90fa0,29.61,0.2773,2,0,4,28,5,1,4,1664.0,0.0469,188.69,214.0,0.0285,0.0009,0.2845,0.0325,1468.0,1.0,0,,,,,routine_benign,3,8,4,1,0,4,4,1,3,0
txn_d859b976d957,33.26,0.3587,8,0,4,28,5,1,5,1664.0,0.0469,188.69,424.0,0.0799,0.0047,0.1834,0.0325,1468.0,1.0,0,,,,,routine_benign,1,4,3,1,0,5,5,0,1,0
txn_01e25959fded,29.91,0.3548,3,0,4,28,5,1,7,1664.0,0.0469,188.69,2402.0,0.0095,0.0084,0.086,0.0325,1468.0,1.0,0,,,,,routine_benign,2,4,1,1,0,3,3,3,3,0
txn_06cdd8aa8d06,101.29,0.0741,14,0,4,28,5,1,1,1795.0,0.0634,66.43,3232.0,0.0626,0.0079,0.0436,0.0325,1468.0,1.0,0,,,,,routine_benign,1,4,1,1,0,3,3,0,1,0
txn_d9e46eb30b54,740.69,0.5773,14,1,4,28,5,1,3,1795.0,0.0634,66.43,3990.0,0.0719,0.0017,0.2548,0.1776,1214.0,0.0,0,,,,,atypical_benign,0,10,3,1,0,2,0,3,0,0
txn_52daf3084756,5.37,0.0438,19,0,4,28,5,1,3,1795.0,0.0634,66.43,976.0,0.0666,0.0119,0.3341,0.1776,1214.0,0.0,0,,,,,routine_benign,4,6,1,1,0,3,3,1,0,0
txn_186666b133c9,49.14,0.2787,10,1,4,28,5,1,3,1795.0,0.0634,66.43,3952.0,0.0039,0.0064,0.2464,0.1776,1214.0,0.0,0,,,,,atypical_benign,3,6,3,1,0,2,5,6,2,0
txn_626ea8ea3dbc,19.5,0.2822,9,0,4,28,5,1,3,949.0,0.0399,183.98,2258.0,0.0111,0.0087,0.0514,0.1776,1214.0,0.0,0,,,,,routine_benign,4,6,1,1,0,3,3,2,0,0
txn_e4e65d53655e,11.74,0.3252,19,0,4,28,5,1,3,949.0,0.0399,183.98,2538.0,0.0221,0.0123,0.1388,0.1776,1214.0,0.0,0,,,,,routine_benign,3,4,1,1,0,3,3,5,2,0
txn_55f96b81db31,92.27,0.3195,18,0,4,27,5,1,1,949.0,0.0399,183.98,2954.0,0.0315,0.0076,0.2489,0.2293,193.0,1.0,0,,,,,routine_benign,0,10,3,1,0,1,1,1,1,0
txn_cc3b2532dd56,20.93,0.3515,16,0,4,27,5,1,4,949.0,0.0399,183.98,2201.0,0.0634,0.0044,0.3483,0.2293,193.0,1.0,0,,,,,routine_benign,0,4,4,1,0,0,0,5,2,0
txn_d422205dcfe9,12.78,0.1561,8,0,4,27,5,1,2,2387.0,0.0278,203.25,3960.0,0.0291,0.0043,0.14,0.2293,193.0,1.0,0,,,,,routine_benign,1,10,3,1,0,0,0,1,0,0
txn_4126188cc2b1,28.71,0.0816,10,0,4,27,5,1,5,2387.0,0.0278,203.25,4424.0,0.0212,0.0049,0.2499,0.2293,193.0,1.0,0,,,,,routine_benign,0,10,3,1,0,2,2,4,1,0
txn_18c95871a86d,334.89,0.3923,17,1,4,28,5,1,1,2387.0,0.0278,203.25,712.0,0.0686,0.0107,0.2338,0.2293,193.0,1.0,0,,,,,atypical_benign,4,6,1,1,0,4,0,0,2,0
txn_ba2dc718e9c9,161.98,0.0423,14,0,4,28,5,1,2,2387.0,0.0278,203.25,427.0,0.0554,0.0089,0.0718,0.2055,1319.0,0.0,0,,,,,routine_benign,1,4,1,1,0,5,5,0,0,0
txn_c515096d7361,61.73,0.5758,21,1,4,28,5,1,4,2320.0,0.0584,153.46,4063.0,0.0643,0.0136,0.0121,0.2055,1319.0,0.0,0,,,,,atypical_benign,2,4,4,1,0,2,1,3,2,0
txn_3a4065129c2c,11.13,0.2238,5,0,4,28,5,1,1,2320.0,0.0584,153.46,2814.0,0.0449,0.0034,0.1579,0.2055,1319.0,0.0,0,,,,,routine_benign,1,4,3,1,0,5,5,3,3,0
txn_465e778fdece,16.15,0.2942,13,0,4,28,5,1,2,2320.0,0.0584,153.46,2885.0,0.0702,0.0123,0.3066,0.2055,1319.0,0.0,0,,,,,routine_benign,1,10,4,1,0,5,5,6,0,0
txn_ec60b8aa307c,48.37,0.1678,9,0,4,28,5,1,1,2320.0,0.0584,153.46,214.0,0.0285,0.0009,0.2845,0.2055,1319.0,0.0,0,,,,,routine_benign,0,8,4,1,0,5,5,0,2,0
txn_2b1713ca7a82,40.22,0.2517,6,0,4,28,5,1,1,194.0,0.0106,250.54,424.0,0.0799,0.0047,0.1834,0.1664,1037.0,1.0,0,,,,,routine_benign,0,6,1,1,0,5,5,0,2,0
txn_3debab9cd7df,25.31,0.2111,17,0,4,28,5,1,2,194.0,0.0106,250.54,2402.0,0.0095,0.0084,0.086,0.1664,1037.0,1.0,0,,,,,routine_benign,2,4,1,1,0,0,0,4,0,0
txn_3e2c458de003,14.6,0.6103,6,0,4,28,5,1,2,194.0,0.0106,250.54,3232.0,0.0626,0.0079,0.0436,0.1664,1037.0,1.0,0,,,,,atypical_benign,4,4,3,1,1,4,4,2,2,1
txn_9c0e215391d2,22.16,0.133,18,0,4,28,5,1,3,194.0,0.0106,250.54,3990.0,0.0719,0.0017,0.2548,0.1664,1037.0,1.0,0,,,,,routine_benign,2,6,3,1,0,0,0,6,1,0
txn_4c6522969cfd,54.57,0.2042,5,1,4,28,5,1,2,949.0,0.0347,42.79,976.0,0.0666,0.0119,0.3341,0.1664,1037.0,1.0,0,,,,,atypical_benign,4,8,1,1,1,5,0,6,0,2
txn_ea28de44bcf5,17.97,0.0425,16,0,4,28,5,1,4,949.0,0.0347,42.79,3952.0,0.0039,0.0064,0.2464,0.0978,1350.0,0.0,0,,,,,routine_benign,4,4,3,1,0,4,4,4,2,0
txn_59fce9e95f2c,11.82,0.0404,14,0,4,28,5,1,5,949.0,0.0347,42.79,2258.0,0.0111,0.0087,0.0514,0.0978,1350.0,0.0,0,,,,,routine_benign,4,6,4,1,0,0,0,5,2,0
txn_cf9ff32b920d,43.93,0.1561,6,0,4,28,5,1,3,949.0,0.0347,42.79,2538.0,0.0221,0.0123,0.1388,0.0978,1350.0,0.0,0,,,,,routine_benign,1,8,1,1,0,3,3,5,0,0
txn_f631ef3f55c2,47.42,0.0491,19,0,4,27,5,1,6,1875.0,0.0743,167.32,2954.0,0.0315,0.0076,0.2489,0.0978,1350.0,0.0,0,,,,,routine_benign,2,6,1,1,0,1,1,1,0,0
txn_8ccedb43cc52,12.84,0.3501,17,0,4,27,5,1,2,1875.0,0.0743,167.32,2201.0,0.0634,0.0044,0.3483,0.0978,1350.0,0.0,0,,,,,routine_benign,1,4,1,1,0,2,2,5,0,0
txn_affbd4c9c276,29.96,0.2913,4,0,4,27,5,1,4,1875.0,0.0743,167.32,3960.0,0.0291,0.0043,0.14,0.2211,1464.0,1.0,0,,,,,routine_benign,1,4,4,1,0,3,3,1,2,0
txn_feee4662f51c,262.56,0.6466,17,0,4,27,5,1,1,1875.0,0.0743,167.32,4424.0,0.0212,0.0049,0.2499,0.2211,1464.0,1.0,0,,,,,atypical_benign,4,10,4,1,0,2,2,2,2,0
txn_58a2fbf81de9,23.42,0.0481,13,0,4,28,5,1,2,2481.0,0.0431,99.0,712.0,0.0686,0.0107,0.2338,0.2211,1464.0,1.0,0,,,,,routine_benign,0,6,4,1,0,3,3,1,0,0
txn_2b2d42a02389,19.02,0.337,6,0,4,28,5,1,4,2481.0,0.0431,99.0,427.0,0.0554,0.0089,0.0718,0.2211,1464.0,1.0,0,,,,,routine_benign,1,8,4,1,0,5,5,1,1,0
txn_4ab72c1c8182,30.98,0.0353,0,0,4,28,5,1,5,2481.0,0.0431,99.0,4063.0,0.0643,0.0136,0.0121,0.2211,1464.0,1.0,0,,,,,routine_benign,0,10,3,1,0,3,3,5,1,0
txn_a87726d6c876,29.94,0.3235,3,0,4,28,5,1,5,2481.0,0.0431,99.0,2814.0,0.0449,0.0034,0.1579,0.2138,997.0,1.0,0,,,,,routine_benign,2,10,4,1,0,1,1,6,1,0
txn_711ddcdb2e99,43.87,0.04,2,0,4,28,5,1,5,122.0,0.0138,76.05,2885.0,0.0702,0.0123,0.3066,0.2138,997.0,1.0,0,,,,,routine_benign,1,4,4,1,0,3,3,2,2,0
txn_08c6712f201f,14.37,0.2405,4,0,4,28,5,1,3,122.0,0.0138,76.05,214.0,0.0285,0.0009,0.2845,0.2138,997.0,1.0,0,,,,,routine_benign,2,6,1,1,0,0,0,4,0,0
txn_a3fb8db48b51,28.35,0.0219,22,0,4,28,5,1,5,122.0,0.0138,76.05,424.0,0.0799,0.0047,0.1834,0.2138,997.0,1.0,0,,,,,routine_benign,1,8,3,1,0,2,2,3,0,0
txn_c69b3c0dd735,32.88,0.3387,22,0,4,28,5,1,3,122.0,0.0138,76.05,2402.0,0.0095,0.0084,0.086,0.2138,997.0,1.0,0,,,,,routine_benign,3,4,3,1,0,4,4,0,3,0
txn_05a066a2f9ba,40.52,0.106,6,0,4,28,5,1,3,1478.0,0.048,197.24,3232.0,0.0626,0.0079,0.0436,0.0471,493.0,0.0,0,,,,,routine_benign,3,4,3,1,0,3,3,6,1,0
txn_177405a51d6b,70.04,0.0976,0,0,4,28,5,1,3,1478.0,0.048,197.24,3990.0,0.0719,0.0017,0.2548,0.0471,493.0,0.0,0,,,,,routine_benign,0,4,3,1,0,5,5,1,3,0
txn_83764358940a,27.85,0.1346,1,0,4,28,5,1,2,1478.0,0.048,197.24,976.0,0.0666,0.0119,0.3341,0.0471,493.0,0.0,0,,,,,routine_benign,4,10,1,1,0,4,4,3,0,0
txn_70db3b0a6af4,15.28,0.2468,19,0,4,28,5,1,6,1478.0,0.048,197.24,3952.0,0.0039,0.0064,0.2464,0.0471,493.0,0.0,0,,,,,routine_benign,4,10,3,1,0,5,5,6,0,0
txn_5d22b555e397,47.38,0.1974,14,0,4,28,5,1,3,1607.0,0.0635,123.51,2258.0,0.0111,0.0087,0.0514,0.0471,493.0,0.0,0,,,,,atypical_benign,1,4,3,1,0,3,3,2,3,0
txn_7cd1b8f35696,49.68,0.3413,11,0,4,28,5,1,4,1607.0,0.0635,123.51,2538.0,0.0221,0.0123,0.1388,0.0932,1442.0,0.0,0,,,,,routine_benign,4,4,1,1,0,2,2,3,1,0
txn_0e213b5d9231,39.68,0.0497,17,0,4,27,5,1,7,1607.0,0.0635,123.51,2954.0,0.0315,0.0076,0.2489,0.0932,1442.0,0.0,0,,,,,routine_benign,2,10,3,1,0,2,2,2,0,0
txn_2c237d6568dc,20.87,0.2105,10,0,4,27,5,1,4,1607.0,0.0635,123.51,2201.0,0.0634,0.0044,0.3483,0.0932,1442.0,0.0,0,,,,,routine_benign,4,8,3,1,0,4,4,6,3,0
txn_11614eb9963d,1371.95,0.3603,19,0,4,27,5,1,3,2541.0,0.0205,192.18,3960.0,0.0291,0.0043,0.14,0.0932,1442.0,0.0,0,,,,,atypical_benign,1,10,3,1,0,0,0,1,0,0
txn_93ea54b814fb,15.02,0.2734,13,0,4,27,5,1,4,2541.0,0.0205,192.18,4424.0,0.0212,0.0049,0.2499,0.0932,1442.0,0.0,0,,,,,routine_benign,4,10,1,1,0,1,1,4,3,0
txn_f8ffb49d6b6b,31.84,0.3352,3,0,4,28,5,1,4,2541.0,0.0205,192.18,712.0,0.0686,0.0107,0.2338,0.25,271.0,0.0,0,,,,,routine_benign,0,8,1,1,0,2,2,3,1,0
txn_0b56a104eb28,25.56,0.2024,10,0,4,28,5,1,5,2541.0,0.0205,192.18,427.0,0.0554,0.0089,0.0718,0.25,271.0,0.0,0,,,,,routine_benign,4,10,3,1,0,1,1,2,2,0
txn_5ca2522836bf,19.64,0.2687,9,0,4,28,5,1,5,1325.0,0.0237,165.95,4063.0,0.0643,0.0136,0.0121,0.25,271.0,0.0,0,,,,,routine_benign,3,8,1,1,0,2,2,4,2,0
txn_ea06e3733748,24.68,0.128,7,0,4,28,5,1,1,1325.0,0.0237,165.95,2814.0,0.0449,0.0034,0.1579,0.25,271.0,0.0,0,,,,,routine_benign,0,4,4,1,0,4,4,1,3,0
txn_87d7fc7a12d6,75.93,0.1993,6,0,4,28,5,1,2,1325.0,0.0237,165.95,2885.0,0.0702,0.0123,0.3066,0.25,271.0,0.0,0,,,,,routine_benign,1,10,1,1,0,5,5,2,1,0
txn_dcaff1485ffa,22.52,0.0587,4,0,4,28,5,1,3,1325.0,0.0237,165.95,214.0,0.0285,0.0009,0.2845,0.1951,33.0,1.0,0,,,,,routine_benign,4,4,4,1,0,4,4,3,0,0
txn_327b71b5905f,219.95,0.3524,17,0,4,28,5,1,4,1304.0,0.0776,163.47,424.0,0.0799,0.0047,0.1834,0.1951,33.0,1.0,0,,,,,routine_benign,1,6,4,1,0,1,1,5,3,0
txn_c88943d62494,30.71,0.3191,5,0,4,28,5,1,3,1304.0,0.0776,163.47,2402.0,0.0095,0.0084,0.086,0.1951,33.0,1.0,0,,,,,routine_benign,1,8,4,1,0,4,4,4,1,0
txn_27c2ff9d95f6,114.82,0.3553,8,0,4,28,5,1,3,1304.0,0.0776,163.47,3232.0,0.0626,0.0079,0.0436,0.1951,33.0,1.0,0,,,,,atypical_benign,2,8,3,1,1,2,2,4,0,2
txn_0ced9dba2aa4,162.26,0.0808,13,0,4,28,5,1,3,1304.0,0.0776,163.47,3990.0,0.0719,0.0017,0.2548,0.1951,33.0,1.0,0,,,,,routine_benign,1,6,3,1,0,4,4,0,3,0
txn_ec0ef7b0804d,221.11,0.0592,18,0,4,28,5,1,5,547.0,0.0197,196.32,976.0,0.0666,0.0119,0.3341,0.2347,172.0,0.0,0,,,,,routine_benign,2,8,4,1,0,3,3,3,3,0
txn_f562373ead80,14.05,0.0595,7,0,4,28,5,1,3,547.0,0.0197,196.32,3952.0,0.0039,0.0064,0.2464,0.2347,172.0,0.0,0,,,,,routine_benign,1,8,1,1,0,5,5,5,3,0
txn_3c270eeb394f,32.14,0.3534,1,0,4,28,5,1,3,547.0,0.0197,196.32,2258.0,0.0111,0.0087,0.0514,0.2347,172.0,0.0,0,,,,,routine_benign,1,8,3,1,0,4,4,1,0,0
txn_42d100c241c9,40.78,0.2954,17,0,4,28,5,1,2,547.0,0.0197,196.32,2538.0,0.0221,0.0123,0.1388,0.2347,172.0,0.0,0,,,,,routine_benign,3,4,4,1,0,1,1,3,0,0
txn_a6579141622d,39.46,0.1197,12,0,4,27,5,1,1,787.0,0.0609,134.3,2954.0,0.0315,0.0076,0.2489,0.2347,172.0,0.0,0,,,,,routine_benign,0,10,3,1,0,0,0,6,3,0
txn_7dffba2975e5,46.3,0.1575,22,0,4,27,5,1,6,787.0,0.0609,134.3,2201.0,0.0634,0.0044,0.3483,0.1231,1090.0,0.0,0,,,,,routine_benign,2,10,1,1,0,0,0,3,2,0
txn_31b6fe64b67b,26.67,0.2063,20,0,4,27,5,1,5,787.0,0.0609,134.3,3960.0,0.0291,0.0043,0.14,0.1231,1090.0,0.0,0,,,,,routine_benign,0,8,4,1,0,2,2,5,3,0
txn_a969dda32da6,13.43,0.2446,20,0,4,27,5,1,5,787.0,0.0609,134.3,4424.0,0.0212,0.0049,0.2499,0.1231,1090.0,0.0,0,,,,,routine_benign,0,6,1,1,0,2,2,0,3,0
txn_69169ea1ca1b,15.99,0.3288,14,0,4,28,5,1,2,840.0,0.0407,67.56,712.0,0.0686,0.0107,0.2338,0.1231,1090.0,0.0,0,,,,,routine_benign,3,10,4,1,0,4,4,6,2,0
txn_9e55f4d2b8c7,37.33,0.3141,1,0,4,28,5,1,2,840.0,0.0407,67.56,427.0,0.0554,0.0089,0.0718,0.1231,1090.0,0.0,0,,,,,routine_benign,1,4,3,1,0,5,5,1,1,0
txn_f10272505739,10.41,0.3038,9,0,4,28,5,1,2,840.0,0.0407,67.56,4063.0,0.0643,0.0136,0.0121,0.0401,312.0,0.0,0,,,,,routine_benign,2,8,4,1,0,0,0,3,2,0
txn_62f2ca195648,20.25,0.0803,13,0,4,28,5,1,3,840.0,0.0407,67.56,2814.0,0.0449,0.0034,0.1579,0.0401,312.0,0.0,0,,,,,routine_benign,3,6,4,1,0,2,2,0,3,0
txn_6aaa5146af4d,18.17,0.1913,0,0,4,28,5,1,1,322.0,0.0298,147.21,2885.0,0.0702,0.0123,0.3066,0.0401,312.0,0.0,0,,,,,routine_benign,4,6,1,1,0,5,5,3,2,0
txn_7a22c2ae4a98,58.39,0.489,9,0,4,28,5,1,6,322.0,0.0298,147.21,214.0,0.0285,0.0009,0.2845,0.0401,312.0,0.0,0,,,,,atypical_benign,2,4,1,1,1,4,4,1,1,2
txn_419379023fa3,16.43,0.3884,11,0,4,28,5,1,3,322.0,0.0298,147.21,424.0,0.0799,0.0047,0.1834,0.0401,312.0,0.0,0,,,,,atypical_benign,4,8,1,1,0,4,4,5,2,0
txn_2dec21995144,31.72,0.2025,13,0,4,28,5,1,3,322.0,0.0298,147.21,2402.0,0.0095,0.0084,0.086,0.0022,1425.0,1.0,0,,,,,routine_benign,4,8,4,1,0,4,4,0,1,0
txn_b9af4a940857,7.24,0.0735,19,0,4,28,5,1,2,1880.0,0.0253,146.24,3232.0,0.0626,0.0079,0.0436,0.0022,1425.0,1.0,0,,,,,routine_benign,4,4,3,1,0,2,2,6,0,0
txn_9f8b1a6e0414,44.91,0.201,3,0,4,28,5,1,2,1880.0,0.0253,146.24,3990.0,0.0719,0.0017,0.2548,0.0022,1425.0,1.0,0,,,,,routine_benign,1,6,3,1,0,1,1,5,2,0
